MCS,ft0,st0,e0,ft1,st1,e1
807,-0.525,44.468174392734014,42.21851567309732,-0.6749999999999999,49.475582098506436,46.96805299358112
808,-0.19999999999999998,44.468174392734014,42.23476567309732,-0.9999999999999999,49.475582098506436,46.95180299358112
812,-0.19999999999999998,44.468174392734014,42.23476567309732,-0.9999999999999999,48.02721432273665,45.57585360659982
814,-0.19999999999999998,44.468174392734014,42.23476567309732,-1.5999999999999999,44.09237964168556,41.807760659601286
815,-0.19999999999999998,43.63363316076047,41.441951502722446,-1.5999999999999999,44.09237964168556,41.807760659601286
827,-0.65,39.71941485215714,37.70094410954929,-1.7499999999999998,44.09237964168556,41.800260659601285
839,-1.0499999999999998,47.23995156276461,44.82545398462638,-1.95,44.09237964168556,41.79026065960129
842,-1.0499999999999998,47.23995156276461,44.82545398462638,-1.3499999999999999,42.14773902111894,39.97285207006299
848,-1.0499999999999998,47.23995156276461,44.82545398462638,-1.3499999999999999,42.14773902111894,39.97285207006299
854,-1.2942857142857145,47.23995156276461,44.81323969891209,-1.1057142857142856,42.15979339626563,39.99651801216663
857,-1.2942857142857145,49.066720393098365,46.548670087729164,-1.1057142857142856,42.15979339626563,39.99651801216663
860,-1.2942857142857145,49.066720393098365,46.548670087729164,-1.7057142857142857,42.611750027008455,40.39587681137232
863,-0.9942857142857144,51.046407612264574,48.44437294593706,-1.4057142857142857,42.611750027008455,40.41087681137232
864,-0.0,51.046407612264574,48.49408723165135,-1.2,36.46096122096925,34.57791315992079
867,-0.0,51.39508650297924,48.82533217783028,-1.2,36.46096122096925,34.57791315992079
880,-0.0,51.39508650297924,48.82533217783028,-1.2,36.46096122096925,34.57791315992079
884,-0.0,51.39508650297924,48.82533217783028,-1.2,36.42348524563105,34.542310983349495
885,-0.0,52.92835953011655,50.28194155361073,-1.2,36.42348524563105,34.542310983349495
887,-0.0,52.92835953011655,50.28194155361073,-1.2,36.42348524563105,34.542310983349495
892,-0.0,52.92835953011655,50.28194155361073,-1.8,40.59045618584491,38.47093337655266
893,-0.0,51.39508650297924,48.82533217783028,-1.8,40.59045618584491,38.47093337655266
903,-0.3,53.976351137454856,51.262533580582115,-2.0999999999999996,40.59045618584491,38.455933376552665
916,-0.3,53.976351137454856,51.262533580582115,-1.5,42.73258916812069,40.52095970971465
919,-0.45,54.26621888698368,51.5304079426345,-1.35,42.73258916812069,40.52845970971465
933,-0.45,52.188294967931995,49.5563802195354,-1.35,42.73258916812069,40.52845970971465
940,-0.0,52.188294967931995,49.5788802195354,-0.0,40.64292846549239,38.61078204221777
943,-0.0,48.39320142793889,45.97354135654195,-0.0,40.64292846549239,38.61078204221777
953,-0.0,48.39320142793889,45.97354135654195,-0.0,40.64292846549239,38.61078204221777
962,-0.0,48.39320142793889,45.97354135654195,-0.0,34.54926339219749,32.82180022258762
963,-0.0,48.39320142793889,45.97354135654195,-0.0,34.54926339219749,32.82180022258762
966,-0.0,48.39320142793889,45.97354135654195,-0.0,30.72323643009235,29.187074608587732
976,-0.0,48.39320142793889,45.97354135654195,-0.0,27.686470207962905,26.302146697564762
978,-0.0,48.39320142793889,45.97354135654195,-0.0,27.686470207962905,26.302146697564762
979,-0.0,52.07303436320383,49.469382645043645,-0.0,27.686470207962905,26.302146697564762
985,-0.0,52.16580211487082,49.55751200912729,-0.0,27.686470207962905,26.302146697564762
989,-0.0,52.23500413426392,49.62325392755073,-0.0,27.686470207962905,26.302146697564762
1012,-0.0,52.23500413426392,49.62325392755073,-0.0,33.31362048491506,31.647939460669313
1013,-0.0,48.202422583529646,45.792301454353165,-0.0,33.31362048491506,31.647939460669313
1014,-0.0,48.202422583529646,45.792301454353165,-0.0,35.4181013025459,33.647196237418605
1016,-0.0,48.202422583529646,45.792301454353165,-0.0,35.47427301561904,33.70055936483809
